name,description,salary_from,salary_to,salary_currency,experience,employer_name,schedule_label,employment_label,country_name,role_name,skills,hard_skills,soft_skills,mbti
Сотрудник склада (кладовщик),"Обязанности:  Приём товара, сверка по накладной, проверка товара на наличие дефектов Поддержание порядка на складе Подготовка товара к доставке Осуществление погрузочно-разгрузочных работ Доставка товара клиенту, перемещение товара между складами Устранение недочетов и брака товара (при возможности) Осуществление сборки мебели: столы, стулья, мягкая мебель, корпус при необходимости Выполнение требований и поручений работодателя(управляющего)  Требования:  Готовность к физическому труду (стулья, столы, диваны, кровати) Опыт работы на складе Опыт в сборке мебели Ответственность и внимательность Организованный, нацеленный на результат Позитивный подход к работе Опрятный внешний вид Условия:  ЗП без задержек; 2 раза в месяц график работы 5/2 полный рабочий день 10.00-19.00 предоставление транспорта предоставление телефона, оплата мобильной связи дружный позитивный коллектив Место работы: Сочи",60000,80000,RUR,1-3,Gilini,Полный день,Полная занятость,Россия,Другое,"Клиентоориентированность, Прием и выдача груза, Проведение инвентаризаций, Работа в команде, Многозадачность, Самоорганизованность","[Прием и выдача груза, Проведение инвентаризаций]","[Клиентоориентированность, Работа в команде, Самоорганизованность]",ESTJ
Программный директор деловых мероприятий,"Мы являемся эксклюзивным оператором федеральных мероприятий проекта &quot;Умный город&quot; Минстроя России по реализации проектов в сфере цифровой трансформации городов, строительства и ЖКХ. Организуем более 20 федеральных и отраслевых мероприятий в год. Наша цель: развитие и укрепление диалога между бизнесом и властью в сфере строительства и ЖКХ. В настоящий момент мы расширяем команду и открываем свои двери для: программного директора деловых мероприятий. Обязанности:   определение повестки деловой программы;   работа по привлечению спикеров - власть;   НКО, бизнес, работа с партнёрами и спонсорами;   организация деловой программы;   Требования:  релевантный опыт работы; знание отраслей : IT, строительство, производство; организационно-коммуникационные навыки на высоком уровне обязательно!  Условия:  гибридный формат работы; командировки по ПФО (в сентябре в г.Саратов, далее по необходимости); заработная плата: оклад+премия; информационная поддержка коллег и руководства.Среди наших партнеров и участников мероприятий: Минцифры России, Министерство Энергетики РФ, Минтранспорта РФ, Правительство Мурманской области, Росреестр, МЧС России, Правительство Московской области, НОСТРОЙ, РГУД, НОТИМ, РАЭК, АНО Цифровая Экономика, Клуб Строителей Сколково, Правительство республики Башкортостан, Мосинжпроект, КОРТРОС, Ростелеком, Правительство Красноярского края, Самолет, ФСК, Pioneer, MR Group, Корпорация А.Н.Д., ГАЛС Девелопмент, Меркатор, ПромМашТест и многие другие.",100000,150000,RUR,3-6,Urbanius Club,Полный день,Полная занятость,Россия,"Арт-директор, креативный директор","Аналитическое мышление, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Бизнес-аналитика, Коммуникативная грамотность, Публичные выступления и проведение презентаций, Организаторские навыки, Организаторские навыки, Организаторские навыки, Публичные выступления и проведение презентаций, Самоорганизованность, Коммуникативная грамотность, Системное и интегративное мышление",[Бизнес-аналитика],"[Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Публичные выступления и проведение презентаций, Организаторские навыки, Организаторские навыки, Организаторские навыки, Публичные выступления и проведение презентаций, Самоорганизованность, Коммуникативная грамотность, Системное и интегративное мышление]",ENTJ
Бренд-менеджер (маркетолог),"Филиал медиахолдинга «Свежий ветер» г. Брянск (радиостанции Европа Плюс, Авторадио, Дорожное радио, Русское радио, Love Radio, Новое радио, DFM, Energy, Радио Ваня, Радио Дача, Юмор ФМ, Калина Красная) приглашает на работу творческого специалиста по управлению брендами наших радиостанций! Объявляем конкурс на лучшую вакансию в мире - вакансию бренд-менеджера. Кто мы? Медиахолдинг «Свежий ветер» - крупный игрок на рынке регионального радиовещания ( 8 филиалов, 34 радиостанции, нас более 200 человек по всей России). Мы – коллектив единомышленников, коллег и друзей. Мы каждое утро бодро и радостно спешим на работу для того, чтобы делать этот мир лучше! Мы делаем региональное радио! Что мы предлагаем? - нескучную работу с мега-задачами, огромной творческой составляющей - дружный коллектив, - неравнодушных руководителей, готовых прийти на помощь в любое время суток, - бесценный опыт и возможность раскрыть все твои (возможно даже пока скрытые) способности, - достойную оплату результатов твоей работы. Для нас важно:  Коммуникабельность на высшем уровне; Умение вести переговоры и договариваться; Ответственность и пунктуальность; Креативность и чувство юмора; Умение работать в команде; Исполнительность.  Основные функции:  Реализация маркетинговой стратегии: проведение рекламных кампаний, промо-мероприятий, Sales Promo мероприятий; Наработка и поддержание качественных контактов со СМИ и партнерами; Разработка и оформление коммерческих предложений; SMM; Формирование и поддержание имиджа компании во внешней среде; Разработка и заказ корпоративной сувенирной продукции.  Требования:  Высшее/неполное высшее образование; Желание обучаться и развиваться в профессии бренд-менеджер/маркетолог; Знание и умение пользоваться Microsoft Office, Excel ; Знание программ Corel Draw, Adobe CS.  Условия:  Работа в крупном федеральном холдинге; Официальное трудоустройство и социальные гарантии, согласно ТК РФ; Своевременная выплата заработной платы (2 раза в месяц); Развитая корпоративная культура; Помощь и поддержка на начальном этапе.",30000,50000,RUR,1-3,Медиахолдинг Свежий ветер,Полный день,Полная занятость,Россия,PR-менеджер,"Планирование маркетинговых кампаний, Самоорганизованность",[Планирование маркетинговых кампаний],[Самоорганизованность],ENTP
Менеджер фронт-офиса,"Типография Рея, ведущая типография города Владивостока, более 30 лет изготавливает полиграфическую продукцию для компаний Дальнего Востока. В связи с развитием новых направлений мы ищем в свою дружную команду сотрудников с перспективой роста.   Наши достижения:  Мы производим рекламную, сувенирную продукцию и упаковку с пятиуровневой проверкой качества точно в срок или быстрее. С нами работают на постоянной основе лидирующие компании, такие как Ростелеком, Асклепий, Юнилаб, Автобиз и Гиперавто, Владхлеб, Реми, Дилан, KFC, ДНС, ТИС-Лоджистик, ТК Энергия, “Банк Приморье”, Газпромбанк, СОВКОМБАНК, Киприно, Бубль Гум. За 2022 мы выполнили 6822 заказа для 1035 наших клиентов. Наши применяемые технологии и бизнес процессы отработаны годами и автоматизированы. Мы постоянно развиваемся, решаем интересные задачи, работаем в совместных проектах, улучшая нашу работу.    Что Вы будете делать:  Работать с клиентами типографии - принимать входящие звонки и сообщения, встречать клиентов в офисе. Консультировать клиентов по производству полиграфической продукции в офисе и по телефону, оформлять заявки на заказ продукции и передавать их на расчет технологам. Отправлять клиентам коммерческие предложения по их запросам. Работать с клиентскими договорами - оформлять проекты типовых договоров по шаблону, подписывать у руководителя, вести реестр договоров, вносит информацию о договоре в учетную программу. Информировать о готовности заказа, проводить опрос удовлетворенности клиентов выполненным заказом. Согласовывать счета на оплату работы подрядчиков с менеджерами и руководителем отдела продаж, вести реестр счетов. Выполнять общие административно-хозяйственные задачи - сканирование и печать документов, поддержание презентабельного вида на выставке готовой продукции, сообщение ИТ-специалисту о проблемах с интернетом и ПО и т.п. Помогать менеджерам отдела продаж - распечатывать БЗ и передает их в производство, оформлять КП и отправлять заказчику, работать с архивом клиентских договоров. Заполнять отчеты по своим показателям и предоставлять руководителю отдела продаж.    Мы предлагаем Вам:  Рабочий день с 8:00 до 17:00, выходные суббота и воскресенье. Комфортные условия работы в просторном светлом офисе, оборудованном всем необходимым, в котором зимой тепло, а летом прохладно. Удобное расположение по адресу ул.Снеговая 13, из любого района города 20-30 минут на личном авто и 40-50 минут на общественном транспорте. Официальное трудоустройство, своевременную выплату заработной платы 2 раза в месяц и отпуск 36 дней в году. Нормированный рабочий день, выходные и праздники по производственному календарю. Четко прописанные обязанности, цели и ожидаемые результаты. Обучение и помощь опытного наставника. Прозрачную оплату труда, понятную и справедливую систему премирования. Возможность влиять на процессы в компании, поддержку полезных начинаний и изменений. Широкие возможности профессионального и карьерного роста. Оплачиваемую за счет компании парковку на охраняемой территории рядом с офисом для сотрудников с личным автомобилем. Оборудованное бытовой техникой помещение для приема пищи и уютную столовую по соседству. Фруктовые дни (фрукты за счет компании каждый понедельник круглый год) Интересную корпоративную жизнь: выезды на природу всей компанией, конкурсы для сотрудников, совместные праздники.    Мы ждем от Вас:  Внимательности к деталям и мелочам, влияющим на результат работы. Умения расставить приоритеты в работе и придерживаться установленных сроков. Готовности обучаться и развивать свои навыки. Командной работы - тактичного общения, умения принимать иное мнение и выстраивать отношения с членами команды. Лояльности к компании, понимания, принятия и соблюдения ценностей компании, вовлеченности в корпоративную жизнь и совместные мероприятия.      И уверены, что Вы:  Искренне хотите помогать клиентам и стать профессионалом в своем деле. Имеете базовые навыки планирования и грамотного общения. Уверенно работаете на ПК, хорошо знаете офисные программы. Являетесь командным игроком. Занимаетесь саморазвитием, обучаетесь, используете различные каналы получения информации и применяете полученные знания. Нацелены на профессиональный рост.  Считаете, что наше предложение это то, что Вы искали? Присылайте резюме до 20.04.2023 - будем знакомиться.",35000,45000,RUR,0,Рея,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Целеустремленность и работоспособность, Работа в команде, Базовые знания ПК",[Базовые знания ПК],"[Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Целеустремленность и работоспособность, Работа в команде]",ESFJ
Администратор в клинику косметологии,"Обязанности:  Работа с пациентами клиники, встреча на ресепшн, заполнение первичной документации Презентация услуг и специальных предложений Консультирование пациентов об услугах клиники Сервисное сопровождение пациентов Работа с кассой, соблюдение кассовых дисциплин Ведение записи пациентов в программе «Инфоклиника» Ведение отчетности Продажи косметики и абонементов  Требования:  Навык работы с кассой и ведение кассовой отчетности Уверенный пользователь ПК Грамотная речь Навык активных продаж, стрессоустойчивость, обучаемость Умение работать в режиме многозадачности Знание программы «Инфоклиника» – Ваше дополнительное преимущество Опыт работы в медицинских клиниках, клиниках медицинской косметологии – Ваше дополнительное преимущество  Условия:  Трудоустройство по ТК РФ з/п: оклад + % от личных продаж график сменный, 2/2 рабочий день с 09.00 до 21.00/10.00 до 22.00 Корпоративная скидка на услуги клиники Льготное обслуживание для членов Вашей семьи Обучение на рабочем месте за счет предприятия Возможность профессионального и карьерного роста Социальный пакет и дружный коллектив",50000,70000,RUR,1-3,360 Cosmetology,Сменный график,Полная занятость,Россия,Администратор,"Базовая инструментальная грамотность, Расчетно-кассовое и операционное обслуживание, Коммуникативная грамотность, Базовые знания ПК, Работа на кассе","[Расчетно-кассовое и операционное обслуживание, Базовые знания ПК, Работа на кассе]","[Базовая инструментальная грамотность, Коммуникативная грамотность]",ESFJ
Ассистент редактора,"Обязанности:  составление календарных планов встреч и интервью радиостанции , ведение проектов - от подбора партнеров до старта медийного проекта , эффективные звонки , переговоры презентации , подготовка текстовых материалов , доведение проектов до результата выполнение плановых показателей   Требования:  умение работать с Googie b Excel таблицами , базами календарное планирование , грамотность, коммуникабельность  Условия:  5 дней в неделю с 9 до 18 часов",30000,50000,RUR,1-3,Наше Медиа,Полный день,Полная занятость,Россия,"Секретарь, помощник руководителя, ассистент","Google Sheets, Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Самоорганизованность, Публичные выступления и проведение презентаций, Создание презентационных материалов, Работа в команде, Многозадачность, Коммуникативная грамотность","[Google Sheets, Создание презентационных материалов]","[Коммуникативная грамотность, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Самоорганизованность, Публичные выступления и проведение презентаций, Работа в команде, Коммуникативная грамотность]",ISTJ
Журналист в городе Кемерово,"Мы, IT компания vashgorod.ru, ищем в свою дружную команду Журналиста (место работы - город Кемерово). Если ты в курсе последних новостей в городе и регионе, хочешь развиваться в сфере журналистики, то мы ждем именно тебя! В круг твоих обязанностей будет входить:  Подготовка ежедневных новостных материалов для сайта ВашГород.ру (vashgorod.ru); Самостоятельный поиск инфоповодов, возможны выезды на мероприятия (выезды оплачивает компания); Получение комментариев по телефону и подготовка запросов.  Ты точно нам подойдешь, если ты:   Знаешь городскую повестку города и региона не менее чем за 2 года; Имеешь высшее образование и безупречная грамотность; Умеешь быстро и осмысленно формулировать свои мысли в тексте; Умеешь делать яркие заголовки и писать просто и понятно;  Любишь работу и получаешь удовольствие от результатов;   Аккуратен и последователен;  Стрессоустойчив (работы будет много, а времени мало); Обладаешь близким к специальности хобби (фото, урбанистика); Креативен.  Будет круто, если у тебя есть образование и был опыт работы: юристом, риэлтором, архитектором. Мы предлагаем:  График работы 5/2, 8-часовой рабочий день, один раз в месяц в субботу рабочий день (работаем удаленно из дома); Официальное трудоустройство; Обучение; Молодой, целеустремленный и дружный коллектив.  Если ты активный и стремишься к развитию - мы ждем тебя в нашей команде!",25000,40000,RUR,0,Вашгород.ру,Полный день,Полная занятость,Россия,"Журналист, корреспондент","Информационная грамотность, Базовая инструментальная грамотность, Креативное мышление, Базовые знания ПК, Информационная грамотность, Базовые знания ПК, Самостотельность","[Базовые знания ПК, Базовые знания ПК, Самостотельность]","[Информационная грамотность, Базовая инструментальная грамотность, Креативное мышление, Информационная грамотность]",ESFP
Cтарший электромеханик средств радио и телевидения (г. Нижние Серги),"Обязанности:  обеспечение надежной, качественной и бесперебойной работы современного радиотелевизионного передающего оборудования; ведение технической документации; ведение оперативных переговоров с энергоснабжающими организациями; контроль за работой аварийно-профилактической группы.  Требования:  высшее или среднее техническое образование, желательно в области радиотехники, связи и телекоммуникаций (рассмотрим студентов заочного отделения); опыт работы на предприятиях связи, в телекоммуникационных компаниях желателен; навыки технической эксплуатации средств связи желательны; опытный пользователь ПК (MS Office, MS Visio); приветствуется наличие дополнительных сертификатов в области связи и телекоммуникаций; высокая работоспособность, стрессоустойчивость, обучаемость, ответственность, способность оперативно и самостоятельно принимать решения.  Условия:  место работы – г. Н-Серги, Буйское лесничество 62 кв-л; сменный режим работы, выходные предоставляются по графику; дополнительные социальные гарантии и компенсации, предусмотренные Коллективным договором: выплата материальной помощи к отпуску (1 раз в год), выплаты к юбилейным датам, праздничным датам (23 февраля, 8 марта, 7 мая &quot;День Радио&quot;, 13 августа &quot;День образования РТРС&quot;), подарки детям к 1 сентября, Новому году; полис ДМС (дополнительные медицинские услуги, оплачиваемые предприятием), страхование от несчастных случаев и др.; трудоустройство в соответствии с ТК РФ, полный социальный пакет.",25000,30000,RUR,1-3,"Российская телевизионная и радиовещательная сеть, ФГУП",Сменный график,Полная занятость,Россия,Инженер по эксплуатации,"Коммуникативная грамотность, Внимательность, Базовая инструментальная грамотность, Коммуникативная грамотность, Обучаемость и адаптивность, Базовые знания ПК, Многозадачность, Самостотельность, Стрессоустойчивость, Стрессоустойчивость, Ответственность и проактивность, Умение принимать решения, Взвешивание, Работа с измерительными приборами и инструментами, Умение принимать решения, Умение принимать решения, Работа в команде","[Базовые знания ПК, Самостотельность, Взвешивание, Работа с измерительными приборами и инструментами]","[Коммуникативная грамотность, Внимательность, Базовая инструментальная грамотность, Коммуникативная грамотность, Обучаемость и адаптивность, Стрессоустойчивость, Стрессоустойчивость, Ответственность и проактивность, Умение принимать решения, Умение принимать решения, Умение принимать решения, Работа в команде]",ISTJ
Менеджер по продажам в агентство интернет-маркетинга (удаленно),"Привет!Мы – агентство интернет-маркетинга Таргетерия. Совмещаем занудную точность, любовь к аналитике и мемам. Работаем с разными задачами: (лидген, e-commerce, smm) и нишами: образование, недвижимость, b2b, HoReCa. Среди наших клиентов: Третьяковская Галерея, QIWI, Solar Staff, Odgers Berndtson Russia, Masters School.Клиенты остаются с нами надолго (средний срок жизни: 6 месяцев) и рекомендуют, поэтому продавать наши услуги можно с полной уверенностью в качестве :)Ищем менеджера по продажам, который в перспективе соберет и возглавит отдел продаж. Заинтересованы в долгом сотрудничестве и росте.   Что нужно будет делать:  Обрабатывать входящие лиды:брифовать, классифицировать по бюджету, набору услуг (созвон по телефону или в zoom) Искать потенциальных клиентов в Телеграм-чатах и партнерских программах (дадим источники)Мы не верим в холодные звонки, но верим в поиск клиентов через соцсети и чаты, ответы на запросы на поиск исполнителей и дружбу в LinkedIn Готовить коммерческие предложения, медиапланы, сметы.Мы отправляем потенциальным клиентам краткий план продвижения с индивидуальными рекомендациями, а не шаблонную презентацию. Собирать такой план интересно: вы работаете в роли маркетолога-стратега (и подключаете команду таргетологов, контекстников, сммщиков, если нужно) Защищать коммерческие предложения Продажа – это презентация плана продвижения на zoom-звонке. Вести клиенту от брифинга до закрытия договора и передавать проект в отдел производства Вести учет сделок в amoCRM  Какие навыки нам важны:  опыт в продажах от 1 года опыт в диджитал-маркетинге от 1 года, знание инструментов таргетированной, контекстной рекламы и SMM (без этого вам будет сложно отвечать на вопросы клиента и защищать коммерческие предложения)  Какие качества в кандидате мы очень оценим  коммуникабельность и любовь к общению проактивность, умение напомнить о себе клиенту амбициозность – мы растем и ищем кандидата, готового расти в задачах, доходе и ответственности  Что даем мы:  ЗП фикс 40к + процент от сделок полностью удаленная работа возможность роста до РОПа доступ к курсам по диджитал-маркетингу.",60000,100000,RUR,1-3,Таргетерия,Удаленная работа,Полная занятость,Россия,"Менеджер по маркетингу, интернет-маркетолог","amoCRM, Продажи, Знание основ в области маркетинга, Коммуникативная грамотность, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов","[amoCRM, Продажи, Знание основ в области маркетинга, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]",[Коммуникативная грамотность],ESTP
Менеджер по продажам в call-центр,"Мы - продуктивная и быстро-развивающаяся арбитражная команда, занимающаяся рекламной деятельностью, используя множество источников трафика: FaceBook(Meta), Google Ads, TikTok Ads, myTarget, Vk Target, Yandex Direct, Push/Native и др. Мы работаем на эксклюзивных условиях с международными партнерскими сетями и прямыми рекламодателями различных брендов в вертикалях Gambling (онлайн казино), Betting (букмекерские конторы). В нашей компании ты можешь реализовать себя и построить карьеру. Если ты обладаешь:  Грамотной и быстрой письменной речью на русском и казахском языках, узбекский язык будет преимуществом; Желанием помочь собеседнику; Стремлением к развитию У тебя есть ноутбук и бесперебойный интернет  Что мы предлагаем тебе:  Конкурентную заработную плату: средний заработок наших специалистов составляет 300 000-400 000 тг. Доход не ограничен (!!!)У нас есть гарантированный оклад. График работы: 6/1; Наших сотрудников мы официально оформляем и даем все возможности для быстрого карьерного роста; У нас уютная домашняя атмосфера: зона отдыха, чай/кофе, дружный коллектив Работа в стильном уютном офисе в верхней части города  Чем предстоит заниматься:  Работать с клиентами по горячим обращениям (входящие заявки); Грамотно консультировать клиентов.  Мы в поиске кандидатов даже без опыта работы , ведь мы тебя всему научим!",100000,350000,KZT,1-3,TMT,Гибкий график,Полная занятость,Казахстан,"Оператор call-центра, специалист контактного центра","Коммуникативная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Работа в команде, Базовые знания ПК",[Базовые знания ПК],"[Коммуникативная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Работа в команде]",ESFJ
